# m=0, S=4
0 -1
0.5 -0.75
1 0
1.5 1.25
2 3
2.5 5.25
3 8
3.5 11.25
4 15
4.5 19.25
# m=2, S=0
0 -1
0.025 -0.999375
0.05 -0.9975
0.075 -0.994375
0.1 -0.99
0.125 -0.984375
0.15 -0.9775
0.175 -0.969375
0.2 -0.96
0.225 -0.949375
0.25 -0.9375
0.275 -0.924375
0.3 -0.91
0.325 -0.894375
0.35 -0.8775
0.375 -0.859375
0.4 -0.84
0.425 -0.819375
0.45 -0.7975
0.475 -0.774375
0.5 -0.75
0.525 -0.724375
0.55 -0.6975
0.575 -0.669375
0.6 -0.64
0.625 -0.609375
0.65 -0.5775
0.675 -0.544375
0.7 -0.51
0.725 -0.474375
0.75 -0.4375
0.775 -0.399375
0.8 -0.36
0.825 -0.319375
0.85 -0.2775
0.875 -0.234375
0.9 -0.19
0.925 -0.144375
0.95 -0.0975
0.975 -0.049375
1 0
1.025 0.050625
1.05 0.1025
1.075 0.155625
1.1 0.21
1.125 0.265625
1.15 0.3225
1.175 0.380625
1.2 0.44
1.225 0.500625
1.25 0.5625
1.275 0.625625
1.3 0.69
1.325 0.755625
1.35 0.8225
1.375 0.890625
1.4 0.96
1.425 1.03063
1.45 1.1025
1.475 1.17563
1.5 1.25
1.525 1.32562
1.55 1.4025
1.575 1.48062
1.6 1.56
1.625 1.64062
1.65 1.7225
1.675 1.80563
1.7 1.89
1.725 1.97563
1.75 2.0625
1.775 2.15062
1.8 2.24
1.825 2.33062
1.85 2.4225
1.875 2.51562
1.9 2.61
1.925 2.70563
1.95 2.8025
1.975 2.90063
2 3
2.025 3.10062
2.05 3.2025
2.075 3.30563
2.1 3.41
2.125 3.51562
2.15 3.6225
2.175 3.73062
2.2 3.84
2.225 3.95063
2.25 4.0625
2.275 4.17562
2.3 4.29
2.325 4.40563
2.35 4.5225
2.375 4.64062
2.4 4.76
2.425 4.88062
2.45 5.0025
2.475 5.12563
2.5 5.25
2.525 5.37562
2.55 5.5025
2.575 5.63063
2.6 5.76
2.625 5.89062
2.65 6.0225
2.675 6.15562
2.7 6.29
2.725 6.42563
2.75 6.5625
2.775 6.70062
2.8 6.84
2.825 6.98063
2.85 7.1225
2.875 7.26562
2.9 7.41
2.925 7.55562
2.95 7.7025
2.975 7.85063
3 8
3.025 8.15062
3.05 8.3025
3.075 8.45563
3.1 8.61
3.125 8.76562
3.15 8.9225
3.175 9.08062
3.2 9.24
3.225 9.40062
3.25 9.5625
3.275 9.72562
3.3 9.89
3.325 10.0556
3.35 10.2225
3.375 10.3906
3.4 10.56
3.425 10.7306
3.45 10.9025
3.475 11.0756
3.5 11.25
3.525 11.4256
3.55 11.6025
3.575 11.7806
3.6 11.96
3.625 12.1406
3.65 12.3225
3.675 12.5056
3.7 12.69
3.725 12.8756
3.75 13.0625
3.775 13.2506
3.8 13.44
3.825 13.6306
3.85 13.8225
3.875 14.0156
3.9 14.21
3.925 14.4056
3.95 14.6025
3.975 14.8006
4 15
4.025 15.2006
4.05 15.4025
4.075 15.6056
4.1 15.81
4.125 16.0156
4.15 16.2225
4.175 16.4306
4.2 16.64
4.225 16.8506
4.25 17.0625
4.275 17.2756
4.3 17.49
4.325 17.7056
4.35 17.9225
4.375 18.1406
4.4 18.36
4.425 18.5806
4.45 18.8025
4.475 19.0256
4.5 19.25
4.525 19.4756
4.55 19.7025
4.575 19.9306
4.6 20.16
4.625 20.3906
4.65 20.6225
4.675 20.8556
4.7 21.09
4.725 21.3256
4.75 21.5625
4.775 21.8006
4.8 22.04
4.825 22.2806
4.85 22.5225
4.875 22.7656
4.9 23.01
4.925 23.2556
4.95 23.5025
4.975 23.7506
# m=1, S=0
0 -1
0.0226131 -0.988693
0.0452261 -0.977387
0.0678392 -0.96608
0.0904523 -0.954774
0.113065 -0.943467
0.135678 -0.932161
0.158291 -0.920854
0.180905 -0.909548
0.203518 -0.898241
0.226131 -0.886935
0.248744 -0.875628
0.271357 -0.864322
0.29397 -0.853015
0.316583 -0.841709
0.339196 -0.830402
0.361809 -0.819095
0.384422 -0.807789
0.407035 -0.796482
0.429648 -0.785176
0.452261 -0.773869
0.474874 -0.762563
0.497487 -0.751256
0.520101 -0.719849
0.542714 -0.68593
0.565327 -0.65201
0.58794 -0.61809
0.610553 -0.584171
0.633166 -0.550251
0.655779 -0.516332
0.678392 -0.482412
0.701005 -0.448492
0.723618 -0.414573
0.746231 -0.380653
0.768844 -0.346734
0.791457 -0.312814
0.81407 -0.278894
0.836683 -0.244975
0.859296 -0.211055
0.88191 -0.177136
