# m=0, S=4
0 1
0.5 0.770151
1 0.291927
1.5 0.00500375
2 0.173178
2.5 0.641831
3 0.980085
3.5 0.876951
4 0.42725
4.5 0.0444349
# m=2, S=0
0 1
0.025 0.999375
0.05 0.997502
0.075 0.994386
0.1 0.990033
0.125 0.984456
0.15 0.977668
0.175 0.969686
0.2 0.96053
0.225 0.950224
0.25 0.938791
0.275 0.926262
0.3 0.912668
0.325 0.898042
0.35 0.882421
0.375 0.865844
0.4 0.848353
0.425 0.829992
0.45 0.810805
0.475 0.790842
0.5 0.770151
0.525 0.748786
0.55 0.726798
0.575 0.704244
0.6 0.681179
0.625 0.657661
0.65 0.633749
0.675 0.609503
0.7 0.584984
0.725 0.560251
0.75 0.535369
0.775 0.510397
0.8 0.4854
0.825 0.46044
0.85 0.435578
0.875 0.410877
0.9 0.386399
0.925 0.362205
0.95 0.338355
0.975 0.31491
1 0.291927
1.025 0.269464
1.05 0.247577
1.075 0.226321
1.1 0.205749
1.125 0.185913
1.15 0.166862
1.175 0.148643
1.2 0.131303
1.225 0.114884
1.25 0.0994282
1.275 0.0849732
1.3 0.0715556
1.325 0.0592089
1.35 0.0479639
1.375 0.0378488
1.4 0.0288888
1.425 0.0211064
1.45 0.0145209
1.475 0.0091489
1.5 0.00500375
1.525 0.00209584
1.55 0.000432425
1.575 1.76708e-05
1.6 0.000852612
1.625 0.00293516
1.65 0.00626012
1.675 0.0108192
1.7 0.0166009
1.725 0.0235909
1.75 0.0317717
1.775 0.0411227
1.8 0.0516208
1.825 0.0632396
1.85 0.07595
1.875 0.0897203
1.9 0.104516
1.925 0.1203
1.95 0.137034
1.975 0.154674
2 0.173178
2.025 0.192499
2.05 0.212588
2.075 0.233396
2.1 0.25487
2.125 0.276956
2.15 0.2996
2.175 0.322745
2.2 0.346334
2.225 0.370306
2.25 0.394602
2.275 0.419162
2.3 0.443924
2.325 0.468826
2.35 0.493806
2.375 0.518801
2.4 0.543749
2.425 0.568589
2.45 0.593256
2.475 0.617691
2.5 0.641831
2.525 0.665617
2.55 0.688989
2.575 0.711888
2.6 0.734258
2.625 0.756043
2.65 0.777187
2.675 0.797639
2.7 0.817346
2.725 0.836261
2.75 0.854335
2.775 0.871523
2.8 0.887783
2.825 0.903073
2.85 0.917356
2.875 0.930596
2.9 0.94276
2.925 0.953817
2.95 0.963739
2.975 0.972503
3 0.980085
3.025 0.986468
3.05 0.991634
3.075 0.995572
3.1 0.998271
3.125 0.999725
3.15 0.999929
3.175 0.998884
3.2 0.996592
3.225 0.993059
3.25 0.988294
3.275 0.982308
3.3 0.975116
3.325 0.966737
3.35 0.957192
3.375 0.946503
3.4 0.934699
3.425 0.921808
3.45 0.907863
3.475 0.892898
3.5 0.876951
3.525 0.860062
3.55 0.842273
3.575 0.823629
3.6 0.804176
3.625 0.783962
3.65 0.763039
3.675 0.741458
3.7 0.719274
3.725 0.696541
3.75 0.673318
3.775 0.649661
3.8 0.62563
3.825 0.601285
3.85 0.576687
3.875 0.551897
3.9 0.526978
3.925 0.501991
3.95 0.476999
3.975 0.452065
4 0.42725
4.025 0.402617
4.05 0.378228
4.075 0.354143
4.1 0.330423
4.125 0.307126
4.15 0.284312
4.175 0.262036
4.2 0.240356
4.225 0.219324
4.25 0.198994
4.275 0.179416
4.3 0.16064
4.325 0.142712
4.35 0.125677
4.375 0.109577
4.4 0.0944535
4.425 0.0803435
4.45 0.0672824
4.475 0.0553029
4.5 0.0444349
4.525 0.0347055
4.55 0.0261392
4.575 0.0187573
4.6 0.0125782
4.625 0.00761741
4.65 0.00388734
4.675 0.00139728
4.7 0.000153479
4.725 0.000159029
4.75 0.00141392
4.775 0.00391502
4.8 0.00765607
4.825 0.0126277
4.85 0.0188176
4.875 0.0262101
4.9 0.0347869
4.925 0.0445264
4.95 0.0554044
4.975 0.0673937
# m=1, S=0
0 1
0.0226131 0.997972
0.0452261 0.995151
0.0678392 0.991537
0.0904523 0.98713
0.113065 0.981932
0.135678 0.97594
0.158291 0.969156
0.180905 0.961579
0.203518 0.953209
0.226131 0.944047
0.248744 0.934092
0.271357 0.923345
0.29397 0.911805
0.316583 0.899472
0.339196 0.886347
0.361809 0.872428
0.384422 0.857718
0.407035 0.842215
0.429648 0.825919
0.452261 0.80883
0.474874 0.790949
0.497487 0.772275
0.520101 0.753033
0.542714 0.733565
0.565327 0.713873
0.58794 0.693957
0.610553 0.673819
0.633166 0.653456
0.655779 0.632871
0.678392 0.612062
0.701005 0.591029
0.723618 0.569773
0.746231 0.548294
0.768844 0.526591
0.791457 0.504665
0.81407 0.482516
0.836683 0.460143
0.859296 0.437546
0.88191 0.414727
0.904523 0.391683
0.927136 0.368417
0.949749 0.344927
0.972362 0.321213
0.994975 0.297276
1.01759 0.273488
1.0402 0.250675
1.06281 0.228868
1.08543 0.208067
1.10804 0.188273
1.13065 0.169484
1.15327 0.151701
1.17588 0.134924
1.19849 0.119153
1.22111 0.104388
1.24372 0.0906295
1.26633 0.0778766
1.28894 0.0661298
1.31156 0.0553889
1.33417 0.045654
1.35678 0.0369252
1.3794 0.0292023
1.40201 0.0224854
1.42462 0.0167745
1.44724 0.0120696
1.46985 0.00837073
1.49246 0.00567783
1.51508 0.00395753
1.53769 0.0031013
1.5603 0.00310078
1.58291 0.00395599
1.60553 0.00566691
1.62814 0.00823355
1.65075 0.0116559
1.67337 0.015934
1.69598 0.0210678
1.71859 0.0270573
1.74121 0.0339026
1.76382 0.0416035
1.78643 0.0501602
1.80905 0.0595726
1.83166 0.0698407
1.85427 0.0809645
1.87688 0.0929441
1.8995 0.105779
1.92211 0.11947
1.94472 0.134017
1.96734 0.14942
1.98995 0.165678
2.01256 0.182717
2.03518 0.200178
2.05779 0.218012
2.0804 0.236219
2.10302 0.2548
2.12563 0.273755
2.14824 0.293083
2.17085 0.312784
2.19347 0.332859
2.21608 0.353307
2.23869 0.374129
2.26131 0.395325
2.28392 0.416894
2.30653 0.438836
2.32915 0.461152
2.35176 0.483841
2.37437 0.506904
2.39698 0.53034
2.4196 0.55415
2.44221 0.578333
2.46482 0.602889
2.48744 0.62782
2.51005 0.652997
2.53266 0.677465
2.55528 0.701026
2.57789 0.72368
2.6005 0.745427
2.62312 0.766267
2.64573 0.7862
2.66834 0.805227
2.69095 0.823346
2.71357 0.840558
2.73618 0.856864
2.75879 0.872263
2.78141 0.886755
2.80402 0.900339
2.82663 0.913017
2.84925 0.924788
2.87186 0.935652
2.89447 0.94561
2.91709 0.95466
2.9397 0.962803
2.96231 0.97004
2.98492 0.976369
3.00754 0.981792
3.03015 0.986315
3.05276 0.989939
3.07538 0.992664
3.09799 0.99449
3.1206 0.995418
3.14322 0.995447
3.16583 0.994577
3.18844 0.992809
3.21106 0.990141
3.23367 0.986575
3.25628 0.982111
3.27889 0.976747
3.30151 0.970485
3.32412 0.963325
3.34673 0.955265
3.36935 0.946307
3.39196 0.93645
3.41457 0.925694
3.43719 0.91404
3.4598 0.901487
3.48241 0.888035
3.50503 0.873694
3.52764 0.858719
3.55025 0.843225
3.57286 0.827212
3.59548 0.81068
3.61809 0.793629
3.6407 0.776058
3.66332 0.757969
3.68593 0.739361
3.70854 0.720234
3.73116 0.700588
3.75377 0.680422
3.77638 0.659738
3.79899 0.638535
3.82161 0.616813
3.84422 0.594571
3.86683 0.571811
3.88945 0.548532
3.91206 0.524733
3.93467 0.500416
3.95729 0.475579
3.9799 0.450224
4.00251 0.424358
4.02513 0.398766
4.04774 0.373966
4.07035 0.34996
4.09296 0.326746
4.11558 0.304324
4.13819 0.282696
4.1608 0.261859
4.18342 0.241816
4.20603 0.222565
4.22864 0.204107
4.25126 0.186441
4.27387 0.169569
4.29648 0.153488
4.3191 0.138201
4.34171 0.123706
4.36432 0.110003
4.38693 0.0970937
4.40955 0.0849767
4.43216 0.0736523
4.45477 0.0631205
4.47739 0.0533814
4.5 0.0444349
# m=3, S=0
0 -0.0721751
0.0226131 -0.107227
0.0452261 -0.14228
0.0678392 -0.177332
0.0904523 -0.212384
0.113065 -0.247437
0.135678 -0.282489
0.158291 -0.317541
0.180905 -0.352593
0.203518 -0.387646
0.226131 -0.422698
0.248744 -0.45775
0.271357 -0.492803
0.29397 -0.527855
0.316583 -0.562907
0.339196 -0.59796
0.361809 -0.633012
0.384422 -0.668064
0.407035 -0.703116
0.429648 -0.738169
0.452261 -0.773221
0.474874 -0.808273
0.497487 -0.843326
0.520101 -0.856003
0.542714 -0.865883
0.565327 -0.875763
0.58794 -0.885643
0.610553 -0.895523
0.633166 -0.905402
0.655779 -0.915282
0.678392 -0.925162
0.701005 -0.935042
0.723618 -0.944922
0.746231 -0.954802
0.768844 -0.964682
0.791457 -0.974562
0.81407 -0.984442
0.836683 -0.994322
0.859296 -1.0042
0.88191 -1.01408
0.904523 -1.02396
0.927136 -1.03384
0.949749 -1.04372
0.972362 -1.0536
0.994975 -1.06348
1.01759 -1.03108
1.0402 -0.986589
1.06281 -0.942102
1.08543 -0.897615
1.10804 -0.853127
1.13065 -0.80864
1.15327 -0.764153
1.17588 -0.719665
1.19849 -0.675178
1.22111 -0.630691
1.24372 -0.586203
1.26633 -0.541716
1.28894 -0.497229
1.31156 -0.452741
1.33417 -0.408254
1.35678 -0.363767
1.3794 -0.319279
1.40201 -0.274792
1.42462 -0.230304
1.44724 -0.185817
1.46985 -0.14133
1.49246 -0.0968425
1.51508 -0.0567855
1.53769 -0.0189437
1.5603 0.0188982
1.58291 0.05674
1.60553 0.0945818
1.62814 0.132424
1.65075 0.170265
1.67337 0.208107
1.69598 0.245949
1.71859 0.283791
1.74121 0.321633
1.76382 0.359474
1.78643 0.397316
1.80905 0.435158
1.83166 0.473
1.85427 0.510842
1.87688 0.548683
1.8995 0.586525
1.92211 0.624367
1.94472 0.662209
1.96734 0.700051
1.98995 0.737893
2.01256 0.763887
2.03518 0.780403
2.05779 0.796919
2.0804 0.813435
2.10302 0.829951
2.12563 0.846467
2.14824 0.862983
2.17085 0.879499
2.19347 0.896016
2.21608 0.912532
2.23869 0.929048
2.26131 0.945564
2.28392 0.96208
2.30653 0.978596
2.32915 0.995112
2.35176 1.01163
2.37437 1.02814
2.39698 1.04466
2.4196 1.06118
2.44221 1.07769
2.46482 1.09421
2.48744 1.11072
2.51005 1.10208
2.53266 1.06197
2.55528 1.02186
2.57789 0.981758
2.6005 0.941652
2.62312 0.901546
2.64573 0.861441
2.66834 0.821335
2.69095 0.781229
2.71357 0.741123
2.73618 0.701017
2.75879 0.660911
2.78141 0.620806
2.80402 0.5807
2.82663 0.540594
2.84925 0.500488
2.87186 0.460382
2.89447 0.420276
2.91709 0.38017
2.9397 0.340065
2.96231 0.299959
2.98492 0.259853
3.00754 0.219868
3.03015 0.180125
3.05276 0.140381
3.07538 0.100638
3.09799 0.0608949
3.1206 0.0211517
3.14322 -0.0185916
3.16583 -0.0583348
3.18844 -0.0980781
3.21106 -0.137821
3.23367 -0.177565
3.25628 -0.217308
3.27889 -0.257051
3.30151 -0.296794
3.32412 -0.336538
3.34673 -0.376281
3.36935 -0.416024
3.39196 -0.455767
3.41457 -0.495511
3.43719 -0.535254
3.4598 -0.574997
3.48241 -0.61474
3.50503 -0.650752
3.52764 -0.673705
